"hsa-miR-22"
"hsa-miR-485-3p"
"hsa-miR-509-3p"
"hsa-miR-625"
"hsa-miR-765"
"hsa-miR-18a*"
"hsa-miR-30a"
"hsa-miR-92a"
"hsa-miR-124a"
"hsa-mir-31"
"hsa-miR-93"
"hsa-miR-25"
"hsa-miR-489"
"hsa-miR-195"
"hsa-miR-548d-3p"
"hsa-miR-559"
"hsa-miR-23b"
"hsa-miR-217"
"hsa-miR-105"
"hsa-miR-503"
"hsa-miR-92b"
"hsa-miR-331-3p"
"hsa-miR-661"
"hsa-miR-181d"
"hsa-miR-181c"
"hsa-miR-330-3p"
"hsa-miR-183"
"hsa-miR-197"
"hsa-miR-153"
"hsa-miR-193b"
"hsa-miR-302c"
"hsa-miR-185"
"hsa-miR-19b"
"hsa-miR-20b"
"hsa-miR-100"
"hsa-miR-502-5p"
"hsa-miR-421"
"hsa-miR-99a"
"hsa-miR-802"
"hsa-miR-675"
"hsa-miR-615-5p"
"hsa-miR-138"
"[hsa-miR-200c]"
"hsa-miR-494"
"hsa-miR-186"
"hsa-miR-30d"
"hsa-miR-18a"
"hsa-miR-375"
"hsa-miR-152"
"hsa-miR-199a-5p"
"hsa-miR-34c-5p"
"hsa-let-7f"
"hsa-miR-516a-5p"
"hsa-miR-512-3p"
"hsa-miR-650"
"hsa-miR-1285"
"hsa-miR-215"
"hsa-miR-33a"
"hsa-miR-33b"
